country,pollutant_name,prev_aqi,aqi_category,count
SPAIN,PM2.5,Moderate,Poor,4168
SPAIN,PM2.5,Poor,Fair,1235
SPAIN,PM2.5,Fair,Moderate,38185
SPAIN,PM2.5,Fair,Poor,1304
SPAIN,PM2.5,Moderate,Good,3576
SPAIN,PM2.5,Good,Fair,4099
SPAIN,PM2.5,Poor,Poor,1029
SPAIN,PM2.5,Poor,Moderate,4271
SPAIN,PM2.5,Good,Poor,154
SPAIN,PM2.5,Poor,Good,144
SPAIN,PM2.5,Poor,Very Poor,68
SPAIN,PM2.5,Very Poor,Fair,98
SPAIN,PM2.5,Moderate,Very Poor,299
SPAIN,PM2.5,Very Poor,Moderate,281
SPAIN,PM2.5,Moderate,Extremely Poor,60
SPAIN,PM2.5,Extremely Poor,Fair,32
SPAIN,PM2.5,Fair,Very Poor,102
SPAIN,PM2.5,Very Poor,Poor,90
SPAIN,PM2.5,Extremely Poor,Good,3
SPAIN,PM2.5,Very Poor,Good,13
SPAIN,PM2.5,Good,Very Poor,12
SPAIN,PM2.5,Fair,Extremely Poor,30
SPAIN,PM2.5,Extremely Poor,Moderate,56
SPAIN,PM2.5,Extremely Poor,Poor,14
SPAIN,PM2.5,Poor,Extremely Poor,12
SPAIN,PM2.5,Very Poor,Very Poor,20
SPAIN,PM2.5,Extremely Poor,Very Poor,4
SPAIN,PM2.5,Very Poor,Extremely Poor,3
SPAIN,PM2.5,Good,Extremely Poor,4
SPAIN,PM2.5,Extremely Poor,Extremely Poor,7
UK,PM10,Fair,Good,1629
UK,PM10,Good,Fair,1664
UK,PM10,Fair,Fair,3474
UK,PM10,Fair,Moderate,1397
UK,PM10,Moderate,Good,652
UK,PM10,Good,Good,858
UK,PM10,Moderate,Fair,1360
UK,PM10,Good,Moderate,606
UK,PM10,Moderate,Moderate,629
UK,PM10,Moderate,Poor,34
UK,PM10,Poor,Moderate,47
UK,PM10,Poor,Poor,10
UK,PM10,Fair,Poor,48
UK,PM10,Poor,Good,29
UK,PM10,Poor,Fair,46
UK,PM10,Fair,Very Poor,3
UK,PM10,Very Poor,Good,5
UK,PM10,Good,Poor,40
UK,PM10,Very Poor,Fair,5
UK,PM10,Moderate,Very Poor,4
UK,PM10,Good,Very Poor,4
UK,PM10,Good,Extremely Poor,1
UK,PM10,Extremely Poor,Fair,2
UK,PM10,Fair,Extremely Poor,1
UK,PM10,Very Poor,Moderate,1
UK,PM2.5,Moderate,Fair,2517
UK,PM2.5,Fair,Fair,5849
UK,PM2.5,Fair,Good,855
UK,PM2.5,Good,Good,149
UK,PM2.5,Good,Moderate,312
